steamid,name,player_side,equipment_value,type,match_checksum,tournament
76561198966340160,Techno4K,Terrorist,3600,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,7650,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Terrorist,3500,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,5800,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,5600,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Terrorist,3900,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Terrorist,4050,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Terrorist,3750,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Terrorist,5000,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Terrorist,7050,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Terrorist,5000,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,3500,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,5650,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,4050,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,2750,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,3400,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Terrorist,4800,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,2900,semi,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,200,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,200,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Terrorist,7050,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Terrorist,5000,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,300,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,200,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,4750,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,4550,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,4550,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Terrorist,7350,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Terrorist,5000,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,4750,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,4550,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Terrorist,5100,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Terrorist,5000,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Terrorist,7150,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
