name,team,match_checksum,tournament
paiN Gaming,Team A,8863fb1ebba84df1,Perfect World Shanghai Major 2024
BIG,Team B,8863fb1ebba84df1,Perfect World Shanghai Major 2024
BIG,Team A,4d8ded1a139bbd27,Perfect World Shanghai Major 2024
paiN Gaming,Team B,4d8ded1a139bbd27,Perfect World Shanghai Major 2024
FaZe Clan,Team A,681745a2b9b36b8b,Perfect World Shanghai Major 2024
FURIA,Team B,681745a2b9b36b8b,Perfect World Shanghai Major 2024
FaZe Clan,Team A,6a0a0abd5ac9d66e,Perfect World Shanghai Major 2024
FURIA,Team B,6a0a0abd5ac9d66e,Perfect World Shanghai Major 2024
FURIA,Team A,9d7f5d821f100013,Perfect World Shanghai Major 2024
FaZe Clan,Team B,9d7f5d821f100013,Perfect World Shanghai Major 2024
FaZe Clan,Team A,83e4fbd18cd20dca,Perfect World Shanghai Major 2024
HEROIC,Team B,83e4fbd18cd20dca,Perfect World Shanghai Major 2024
FaZe Clan,Team A,a9a03854402ccebc,Perfect World Shanghai Major 2024
Wildcard,Team B,a9a03854402ccebc,Perfect World Shanghai Major 2024
FURIA,Team A,f10e0880161eacf8,Perfect World Shanghai Major 2024
Team Liquid,Team B,f10e0880161eacf8,Perfect World Shanghai Major 2024
paiN Gaming,Team A,3fe31655cc583b78,Perfect World Shanghai Major 2024
FURIA,Team B,3fe31655cc583b78,Perfect World Shanghai Major 2024
paiN Gaming,Team A,668f0048bae3a840,Perfect World Shanghai Major 2024
FURIA,Team B,668f0048bae3a840,Perfect World Shanghai Major 2024
paiN Gaming,Team A,cac181c5b74593da,Perfect World Shanghai Major 2024
FURIA,Team B,cac181c5b74593da,Perfect World Shanghai Major 2024
G2 Esports,Team A,5d82c197f1fb3742,Perfect World Shanghai Major 2024
3DMAX,Team B,5d82c197f1fb3742,Perfect World Shanghai Major 2024
G2 Esports,Team A,664f6d1460b54fe0,Perfect World Shanghai Major 2024
BIG,Team B,664f6d1460b54fe0,Perfect World Shanghai Major 2024
G2 Esports,Team A,e1cc574fa1fb85cf,Perfect World Shanghai Major 2024
FaZe Clan,Team B,e1cc574fa1fb85cf,Perfect World Shanghai Major 2024
